#OTU ID,632.Arctic.Tundra.1,632.Arctic.Tundra.2,632.Wetland.soil,632.Tar.sand.1,632.Northern.peatlands,632.Temperate.deciduous.forest,632.Temperate.rain.forest,632.Boreal.coniferous.forest,632.Tar.sand.2,632.Agricultural.soil.wheat,632.Agricultural.soil.soy,632.UW.community.garden,632.Compost,
14396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,
14397,0.0,0.0,326.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4422085,1.0,0.0,23.0,35.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,
4427831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,
955932,1.0,2.0,0.0,146.0,71.0,2.0,1.0,0.0,1.0,4.0,79.0,0.0,0.0,
83643,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
136727,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,20.0,18.0,0.0,0.0,
848718,0.0,0.0,0.0,4.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,
3350573,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
738747,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2281136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,
935688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,
893238,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,4.0,6.0,0.0,0.0,
4338225,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
893232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,
3860285,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
4309490,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
4409769,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1021233,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,40.0,112.0,0.0,0.0,
4432778,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
520587,0.0,0.0,0.0,0.0,2.0,1.0,107.0,26.0,0.0,0.0,0.0,0.0,0.0,
1114968,7.0,3.0,42.0,44.0,53.0,2.0,44.0,0.0,65.0,0.0,0.0,0.0,0.0,
312378,7.0,11.0,20.0,0.0,78.0,14.0,14.0,41.0,9.0,12.0,29.0,0.0,0.0,
706705,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,
336873,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,13.0,2.0,8.0,0.0,0.0,
3749797,2.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,
531803,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
905892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,
3749020,0.0,0.0,8.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
3437276,0.0,0.0,0.0,10.0,3.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,
754362,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
